produto-id;id-acabamento;id-cor;id-fabricante;produto-imagem;produto-marca;produto-nome;produto-nome-resumido
88543644;1;1;1;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_diatex_pinta_mais_3_6l_perola_88543644_0001_600x600.jpg;Iquine;Tinta Látex Fosco Diatex Pinta Mais Econômica Pérola 3.6L Iquine;Tinta Látex Fosco Diatex Pinta Mais Pérola 3...
85430422;1;2;2;https://cdn.leroymerlin.com.br/products/tinta_latex_fosco_a_classica_maxx_camurca_3.6l_suvinil_85430422_1b43_600x600.jpg;Suvinil;Tinta Látex Fosco a Clássica Maxx Premium Camurça 3.6L Suvinil;Tinta Látex Fosco a Clássica Maxx Camurça 3....
89705952;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_premium_impermeabilizante_fosco_protecao_sol_e_chuva_algas_profundas_3.6l_coral_89705952_0001_600x600.jpg;Coral;Tinta Acrílica Premium Impermeabilizante Fosco Proteção Sol & Chuva Algas Profundas 3.6L Coral;Tinta Acrílica Premium Impermeabilizante Fos...
87247503;1;4;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_laranja_3.6l_sherwin_williams_87247503_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Laranja 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Laranja 3.6L...
87465805;1;5;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_novacor_parede_verde_itacare_3.6l__87465805_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Mais Rendimento Standard Verde Itacaré 3.6L Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Verde It...
88548320;1;6;1;https://cdn.leroymerlin.com.br/products/acrilico_fosco_diacryl_18l_branco_gelo_88548320_0001.jpg_600x600.jpg;Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Standard Branco Gelo 18L Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Bra...
87465924;1;5;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_novacor_parede_verde_itacare_18l__87465924_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Mais Rendimentoe Standard Verde Itacaré 18L Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Verde It...
85794562;2;6;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_acetinado_toque_de_seda_gelo_3.6l_suvinil_85794562_0001_600x600.jpg;Suvinil;Tinta Acrílica Acetinado Toque de Seda Premium Gelo 3.6L Suvinil;Tinta Acrílica Acetinado Toque de Seda Gelo...
85186325;1;6;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_premium_branco_gelo_18l__85186325_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Branco Gelo 18L Sherwin Williams;Tinta Acrílica Fosco Metalatex Premium Branc...
89705875;1;7;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_trilha_ecologica_3.6l_coral_89705875_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Trilha Ecológica 3.6L Coral;Tinta Acrílica Fosca Total S&C Premium Trilh...
88548355;1;8;1;https://cdn.leroymerlin.com.br/products/acrilico_fosco_diacryl_18l_marfim_88548355_0001.jpg_600x600.jpg;Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Standard Marfim 18L Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Mar...
90372716;1;9;2;https://cdn.leroymerlin.com.br/products/acrilica_fosco_premium_fosco_completo_estrada_da_terra_18l_90372716_0001_600x600.jpg;Suvinil;Tinta Acrílica Premium Fosco Completo Estrada de Terra 18L;Acrilica Fosco Premium Fosco Completo Estrad...
88543686;1;10;1;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_diatex_pinta_mais_3_6l_hortela_88543686_0001_600x600.jpg;Iquine;Tinta Látex Fosco Diatex Pinta Mais Econômica Hortelã 3.6L Iquine;Tinta Látex Fosco Diatex Pinta Mais Hortelã...
85184253;3;6;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho_branco_gelo_3.6l__85184253_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Branco Gelo 3.6L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho B...
86881676;1;11;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_novacor_parede_standard_palha_18l_86881676_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Mais Rendimento Standard Palha 18L Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Standard...
87738595;1;11;4;https://cdn.leroymerlin.com.br/products/tinta_especifica_p__litoral_fosca_metalatex_3_6l_palha_itaunas_87738595_0001.jpg_600x600.jpg;Sherwin Williams;Tinta para Litoral Fosco Litoral Palha Itaunas 3.6L Sherwin Williams;Tinta para Litoral Fosco Litoral Palha Itaun...
